category,row,col
Platinum,D,31-40
Platinum,F,47-53
Platinum,G,31-40
SVIP,K,29-38
SVIP,L,29-38
SVIP,C,22-30
SVIP,D,22-30
SVIP,F,23-30
SVIP,G,22-29
SVIP,H,22-29
SVIP,C,52-60
SVIP,D,52-60
SVIP,F,54-61
SVIP,G,54-61
SVIP,H,54-61
SVIP,I,54-61
VIP,N,28-37
VIP,O,28-36
VIP,F,11-22
VIP,G,11-21
VIP,H,11-21
VIP,E,62-72
VIP,F,62-72
VIP,G,62-72
VIP,H,62-72
VIP,I,65-74
VIP,J,65-73
VIP,K,63-73
VIP,L,63-73
GOLD,C,6-15
GOLD,D,6-15
GOLD,M,15-24
GOLD,N,13-27
GOLD,O,13-27
GOLD,Q,27-57
GOLD,R,27-57
GOLD,A,65-72
GOLD,B,66-74
GOLD,C,67-76
GOLD,D,67-76
GOLD,E,73-77
GOLD,F,73-77
GOLD,M,65-70
Silver,M,71-81
Silver,N,71-82
Silver,O,71-82
Silver,P,71-84
Silver,Q,60-83
Silver,R,60-83
Silver,S,60-83
Silver,M,1-12
Silver,N,1-12
Silver,O,1-12
Silver,P,1-12
Silver,Q,1-10
Silver,R,1-15
